Date,RELIANCE.NS,HDFCBANK.NS,INFY.NS,HDFC.NS,ICICIBANK.NS,TCS.NS,KOTAKBANK.NS,HINDUNILVR.NS,ITC.NS,AXISBANK.NS,LT.NS,SBIN.NS,BAJFINANCE.NS,BHARTIARTL.NS,ASIANPAINT.NS,HCLTECH.NS,MARUTI.NS,ULTRACEMCO.NS,M&M.NS,SUNPHARMA.NS,TITAN.NS,NESTLEIND.NS,TECHM.NS,BAJAJFINSV.NS,POWERGRID.NS,DRREDDY.NS,INDUSINDBK.NS,NTPC.NS,BAJAJ-AUTO.NS,ONGC.NS
2021-02-11,2055.699951171875,1572.3499755859375,1292.6500244140625,2760.60009765625,630.6500244140625,3206.0,1961.0,2263.0,226.4499969482422,740.0999755859375,1530.5,390.1499938964844,5567.0498046875,598.0999755859375,2505.5,970.4000244140625,7667.35009765625,6427.14990234375,914.2000122070312,643.6500244140625,1524.699951171875,17412.25,985.5999755859375,10216.650390625,213.75,4825.0498046875,1021.9000244140625,97.30000305175781,4181.89990234375,99.44999694824219
2021-02-12,2041.5999755859375,1581.949951171875,1309.800048828125,2791.5,647.5999755859375,3190.800048828125,1951.050048828125,2241.550048828125,217.4499969482422,750.4000244140625,1521.3499755859375,393.1499938964844,5577.4501953125,586.25,2486.10009765625,960.4000244140625,7568.5,6397.25,908.5499877929688,627.1500244140625,1494.199951171875,17294.30078125,991.2000122070312,10278.7998046875,212.64999389648438,4792.0,1027.4000244140625,95.94999694824219,4136.0498046875,97.0
2021-02-15,2032.5999755859375,1616.5999755859375,1309.6500244140625,2860.449951171875,673.9500122070312,3139.85009765625,1985.949951171875,2215.199951171875,218.60000610351562,794.0,1537.6500244140625,406.95001220703125,5779.85009765625,593.7000122070312,2456.75,954.6500244140625,7596.64990234375,6407.75,911.8499755859375,627.5,1484.75,17479.849609375,979.2000122070312,10537.7001953125,212.4499969482422,4709.85009765625,1057.5999755859375,95.19999694824219,4122.2998046875,98.44999694824219
2021-02-16,2059.5,1626.6500244140625,1290.4000244140625,2858.64990234375,658.3499755859375,3108.800048828125,2019.6500244140625,2196.10009765625,218.25,775.0499877929688,1549.449951171875,402.3500061035156,5760.25,593.9500122070312,2450.25,952.2999877929688,7697.0498046875,6457.7998046875,912.2000122070312,631.1500244140625,1471.8499755859375,17217.25,986.7999877929688,10460.599609375,225.5500030517578,4696.60009765625,1058.25,98.0,4132.85009765625,103.75
2021-02-17,2083.25,1586.5,1281.300048828125,2805.35009765625,657.3499755859375,3073.10009765625,1989.449951171875,2163.89990234375,217.75,777.75,1548.3499755859375,411.75,5705.14990234375,593.8499755859375,2388.14990234375,943.2000122070312,7503.2001953125,6419.2001953125,914.9500122070312,621.25,1460.4000244140625,16741.19921875,980.4500122070312,10185.650390625,230.0500030517578,4600.5498046875,1033.199951171875,99.3499984741211,4165.7001953125,102.25
2021-02-18,2067.699951171875,1554.300048828125,1292.449951171875,2745.14990234375,644.6500244140625,3057.35009765625,1945.449951171875,2146.85009765625,218.85000610351562,777.0,1524.5999755859375,415.20001220703125,5563.35009765625,589.0499877929688,2470.75,948.0999755859375,7497.5498046875,6325.85009765625,894.4500122070312,616.0499877929688,1433.0,16364.7001953125,1010.5999755859375,10198.9501953125,236.5,4616.9501953125,1046.050048828125,103.4000015258789,4115.4501953125,110.69999694824219
2021-02-19,2080.300048828125,1539.0999755859375,1291.300048828125,2741.300048828125,624.0499877929688,3071.85009765625,1938.75,2181.10009765625,215.9499969482422,749.6500244140625,1508.800048828125,399.54998779296875,5497.9501953125,581.3499755859375,2416.449951171875,950.1500244140625,7323.0,6208.5,879.25,607.2999877929688,1425.550048828125,16376.400390625,993.9500122070312,10250.4501953125,232.1999969482422,4681.4501953125,1065.9000244140625,104.19999694824219,4001.10009765625,105.0999984741211
2021-02-22,2008.0999755859375,1548.0,1265.199951171875,2651.949951171875,609.8499755859375,2958.449951171875,1949.5999755859375,2167.60009765625,207.0500030517578,719.4500122070312,1452.199951171875,389.5,5376.85009765625,570.2999877929688,2387.050048828125,920.1500244140625,7086.4501953125,6175.10009765625,837.0999755859375,595.2999877929688,1405.25,16096.2998046875,950.7000122070312,10000.599609375,224.9499969482422,4469.25,1022.9000244140625,102.05000305175781,3971.550048828125,106.30000305175781
2021-02-23,2023.449951171875,1529.1500244140625,1266.3499755859375,2628.60009765625,616.2999877929688,2980.199951171875,1872.949951171875,2179.25,208.5,715.9500122070312,1486.300048828125,395.6000061035156,5383.7001953125,565.5499877929688,2372.199951171875,909.9500122070312,6970.5,6268.4501953125,840.9500122070312,604.0499877929688,1424.050048828125,16169.9501953125,945.75,10008.650390625,226.10000610351562,4495.14990234375,1048.300048828125,103.4000015258789,3912.25,112.19999694824219
2021-02-24,2061.0,1606.449951171875,1274.300048828125,2707.75,641.0999755859375,2948.10009765625,1911.199951171875,2178.85009765625,208.85000610351562,749.4000244140625,1526.5999755859375,406.25,5562.89990234375,572.9500122070312,2361.35009765625,916.0,6952.9501953125,6414.5498046875,849.5999755859375,601.4500122070312,1451.8499755859375,16346.150390625,960.0499877929688,10199.599609375,222.75,4435.5498046875,1070.0,103.19999694824219,3931.85009765625,113.5999984741211
2021-02-25,2144.35009765625,1606.4000244140625,1274.550048828125,2684.699951171875,628.0,2995.300048828125,1895.5,2163.300048828125,209.14999389648438,770.6500244140625,1506.449951171875,407.25,5529.9501953125,579.1500244140625,2373.75,929.25,6930.35009765625,6383.2998046875,859.0,609.5499877929688,1434.449951171875,16113.900390625,957.7999877929688,10264.4501953125,227.5500030517578,4480.14990234375,1109.75,108.0,3944.800048828125,119.05000305175781
2021-02-26,2085.800048828125,1534.4000244140625,1253.300048828125,2539.39990234375,597.75,2894.300048828125,1780.3499755859375,2132.050048828125,203.85000610351562,724.7999877929688,1442.5,390.1499938964844,5264.89990234375,556.2999877929688,2277.199951171875,909.4500122070312,6866.14990234375,6115.0,806.4000244140625,594.5999755859375,1406.9000244140625,16101.599609375,918.8499755859375,9648.599609375,214.3000030517578,4426.5498046875,1062.949951171875,107.30000305175781,3798.699951171875,111.0
2021-03-01,2101.699951171875,1558.9000244140625,1267.0,2606.0,608.3499755859375,2924.199951171875,1845.4000244140625,2143.39990234375,206.89999389648438,728.5499877929688,1472.8499755859375,394.95001220703125,5266.7998046875,532.2000122070312,2362.300048828125,930.3499755859375,7015.0,6365.0498046875,819.4500122070312,604.4500122070312,1452.1500244140625,16292.4501953125,936.0,9774.0498046875,227.25,4453.39990234375,1067.949951171875,108.44999694824219,3814.050048828125,117.05000305175781
2021-03-02,2106.0,1568.199951171875,1304.5,2564.0,610.5,3006.35009765625,1844.6500244140625,2177.949951171875,209.89999389648438,731.25,1485.6500244140625,394.20001220703125,5316.2998046875,541.2000122070312,2390.39990234375,953.75,7214.10009765625,6423.10009765625,860.0499877929688,614.2000122070312,1471.1500244140625,16576.150390625,967.0999755859375,9877.0,225.0500030517578,4404.7001953125,1073.3499755859375,112.55000305175781,3944.050048828125,113.5
2021-03-03,2202.10009765625,1586.8499755859375,1343.550048828125,2654.89990234375,632.0999755859375,3059.10009765625,1899.5,2193.5,209.9499969482422,753.9500122070312,1496.9000244140625,405.04998779296875,5542.89990234375,546.2999877929688,2402.10009765625,965.25,7124.7001953125,6500.5,852.0499877929688,624.3499755859375,1474.5999755859375,16699.25,976.0,10395.599609375,227.5,4502.5498046875,1099.75,112.69999694824219,3901.10009765625,114.0
